"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-11-30","8.50","0.21",,"0.0","0.0",,"55","37",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-01","8.05","0.00",,"0.0","0.0",,"52","35",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-02","5.37","0.77",,"0.0","0.0",,"58","34",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-03","16.55","0.36",,"0.0","0.0",,"67","45",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-04","6.04","0.00",,"0.0","0.0",,"50","39",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-05","12.08","0.40",,"0.0","0.0",,"45","33",,"    1",,,,"    1",,,,,,"    1",,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-06","9.62","0.00",,"0.0","0.0",,"38","31",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-07","6.49","0.00",,"0.0","0.0",,"42","30",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-08","6.93","0.00",,"0.0","0.0",,"45","32",,,,,,"    1",,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-09","13.87","2.13",,"0.0","0.0",,"58","38",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-10","20.80","0.00",,"0.0","0.0",,"49","28",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-11","17.22","0.00",,"0.0","0.0",,"33","23",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-12","8.72","0.00",,"0.0","0.0",,"41","28",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-13","6.26","1.11",,"0.0","0.0",,"54","30",,"    1",,,,"    1",,,,,,"    1",,,"    1",,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-14","6.26","0.00",,"0.0","0.0",,"50","36",,"    1",,,,,,,,,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-15","9.62","0.00",,"0.0","0.0",,"55","42",,"    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-16","13.20","0.00",,"0.0","0.0",,"42","29",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-17","11.86","0.00",,"0.0","0.0",,"35","25",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-18","5.59","0.00",,"0.0","0.0",,"33","21",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-19","17.90","1.70",,"22.5","2.0",,"31","22",,"    1","    1",,,,,,"    1","    1",,,,,"    1",,"    1",,"    1"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-20","13.42","0.05",,"0.7","21.0",,"34","24",,"    1",,,,,,,,,,"    1",,,"    1",,"    1",,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-21","12.97","0.00",,"0.0","18.0",,"38","22",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-22","10.74","0.00",,"0.0","14.0",,"38","30",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-23","7.38","0.00",,"0.0","11.0",,"31","17",,,,,,,,,,,,,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87327","-75.22678","3.0","2009-12-24","4.03","0.00",,"0.0","9.0",,"38","19",,,,,,,,,,,,,,,,,,,
